model,dataset,loss
full,AST,0.88054913
full,AST,0.667995
full,AST,0.90563726
full,AST,0.77356064
full,AST,0.9504614
full,AST,0.598387
full,AST,0.7872679
full,AST,0.82169795
full,TOF,0.9312675
full,TOF,0.9144648
full,TOF,0.7517975
full,TOF,0.86213005
full,TOF,0.90270585
full,TOF,0.7818042
full,TOF,0.95696527
full,TOF,0.8329511
full,TOF,0.9266008
full,TOF,0.8853063
full,TOF,0.8465357
full,TOF,0.9324671
full,TOF,0.8156959
full,TOF,0.8539324
full,TOF,0.85667497
full,TOF,0.8727275
full,TOF,0.9013269
full,TOF,0.840623
full,TOF,0.83097106
full,TOF,0.8599396
full,TOF,0.86323476
full,TOF,0.8796156
full,TOF,0.20257801
full,TOF,0.94690573
full,TOF,0.88567877
full,TOF,0.95915973
full,TOF,0.65530825
full,TOF,0.9566741
full,TOF,0.94836
full,TOF,0.8228635
full,TOF,0.8933055
full,TOF,0.9225445
full,TOF,0.9167235
full,TOF,0.8750186
full,TOF,0.63702655
full,TOF,0.9210086
full,TOF,0.91308415
full,TOF,0.8802726
full,TOF,0.93795764
full,TOF,0.9459138
full,TOF,0.97514504
full,TOF,0.8060902
full,TOF,0.81999856
full,TOF,0.89683455
full,TOF,0.82108676
full,TOF,0.6094176
full,TOF,0.7819205
full,TOF,0.9433038
full,TOF,0.69265026
full,TOF,0.90800864
full,TOF,0.81318915
full,TOF,0.8733742
full,TOF,0.9166368
full,TOF,0.8577491
full,TOF,0.9354653
full,TOF,0.8888069
full,TOF,0.94191253
full,TOF,0.33883893
full,TOF,0.83569705
full,TOF,0.8159775
full,TOF,0.8736633
full,TOF,0.9614996
full,TOF,0.86018187
full,TOF,0.95785815
full,TOF,0.9454073
full,TOF,0.95885956
full,TOF,0.94357157
full,TOF,0.8429155
full,TOF,0.8044721
full,TOF,0.79395473
full,TOF,0.9301323
full,TOF,0.8986977
full,TOF,0.9380088
full,TOF,0.9221509
full,TOF,0.89378357
full,TOF,0.78797686
full,TOF,0.9475713
full,TOF,0.9370621
full,TOF,0.8970752
full,TOF,0.6473546
full,TOF,0.8533449
full,TOF,0.9335771
full,TOF,0.8383194
full,TOF,0.91571486
full,TOF,0.7612426
full,TOF,0.9325715
full,TOF,0.84132755
full,TOF,0.9625537
full,TOF,0.85188824
full,TOF,0.7129754
full,TOF,0.95369774
full,TOF,0.88081634
full,TOF,0.79898584
full,TOF,0.83625746
full,TOF,0.8027747
full,TOF,0.66434056
full,TOF,0.46650237
full,TOF,0.9155555
full,TOF,0.91907567
full,TOF,0.9541538
full,TOF,0.7869476
full,TOF,0.8383126
full,TOF,0.93899864
full,TOF,0.823522
full,TOF,0.9368414
full,TOF,0.8948862
full,TOF,0.95445377
full,TOF,0.9408086
full,TOF,0.7537963
full,TOF,0.9211995
full,TOF,0.9623124
full,TOF,0.82286364
full,TOF,0.91005397
full,TOF,0.86740375
full,TOF,0.79068875
full,TOF,0.9190745
full,TOF,0.94859755
full,TOF,0.72814894
full,TOF,0.87361485
full,TOF,0.87985986
full,TOF,0.83979934
full,TOF,0.82212067
full,TOF,0.81819725
full,TOF,0.87786484
full,TOF,0.92457825
full,TOF,0.81405914
full,TOF,0.91534716
full,TOF,0.86428696
full,TOF,0.84625053
full,TOF,0.8390918
full,TOF,0.7997897
full,TOF,0.96828854
full,TOF,0.9422282
full,TOF,0.79745084
full,TOF,0.8563465
full,TOF,0.8852309
full,TOF,0.7983426
full,TOF,0.9763373
full,TOF,0.94570494
full,TOF,0.7565045
full,TOF,0.98069406
full,TOF,0.82849514
